,Topic Divergence,Avg Compat Ratio,Burst Length
66.0,1.0,0.57,9.0
67.0,1.0,0.58,8.0
68.0,1.0,0.58,10.0
69.0,1.0,0.59,12.0
70.0,1.0,0.58,7.0
71.0,1.0,0.58,13.0
72.0,1.0,0.58,5.0
73.0,1.0,0.58,3.0
74.0,1.0,0.58,5.0
75.0,1.0,0.58,2.0
76.0,1.0,0.58,9.0
77.0,1.0,0.57,11.0
78.0,1.0,0.57,11.0
79.0,1.0,0.57,8.0
80.0,1.0,0.56,10.0
81.0,1.0,0.56,6.0
82.0,1.0,0.56,4.0
83.0,1.0,0.56,9.0
84.0,1.0,0.56,10.0
85.0,1.0,0.57,12.0
86.0,1.0,0.56,6.0
87.0,1.0,0.56,2.0
88.0,1.0,0.56,6.0
89.0,1.0,0.56,8.0
90.0,1.0,0.56,4.0
91.0,1.0,0.56,10.0
92.0,1.0,0.56,10.0
93.0,1.0,0.56,10.0
94.0,1.0,0.57,10.0
95.0,1.0,0.56,10.0
96.0,1.0,0.56,12.0
97.0,1.0,0.56,8.0
98.0,1.0,0.56,3.0
99.0,1.0,0.56,6.0
100.0,1.0,0.55,9.0
101.0,1.0,0.55,12.0
102.0,1.0,0.55,5.0
103.0,1.0,0.55,12.0
104.0,1.0,0.55,12.0
105.0,1.0,0.55,6.0
106.0,1.0,0.55,10.0
107.0,1.0,0.55,6.0
108.0,1.0,0.55,2.0
109.0,1.0,0.55,6.0
110.0,1.0,0.55,12.0
111.0,1.0,0.55,8.0
112.0,1.0,0.55,8.0
113.0,1.0,0.55,11.0
114.0,1.0,0.55,6.0
115.0,1.0,0.55,12.0
116.0,1.0,0.56,10.0
117.0,1.0,0.55,5.0
118.0,1.0,0.56,10.0
119.0,1.0,0.56,8.0
120.0,1.0,0.55,5.0
121.0,1.0,0.55,6.0
122.0,1.0,0.55,4.0
123.0,1.0,0.55,5.0
124.0,1.0,0.55,10.0
125.0,1.0,0.55,10.0
126.0,1.0,0.54,10.0
127.0,1.0,0.54,2.0
128.0,1.0,0.54,9.0
129.0,1.0,0.55,5.0
130.0,1.0,0.55,9.0
131.0,1.0,0.55,8.0
132.0,1.0,0.54,2.0
133.0,1.0,0.54,3.0
134.0,1.0,0.54,9.0
135.0,1.0,0.54,7.0
136.0,1.0,0.54,3.0
137.0,1.0,0.54,5.0
138.0,1.0,0.54,3.0
139.0,1.0,0.55,11.0
140.0,1.0,0.55,7.0
141.0,1.0,0.55,5.0
142.0,1.0,0.54,7.0
143.0,1.0,0.55,8.0
144.0,1.0,0.54,10.0
145.0,1.0,0.54,13.0
146.0,1.0,0.54,11.0
147.0,1.0,0.54,4.0
148.0,1.0,0.55,13.0
149.0,1.0,0.55,8.0
150.0,1.0,0.55,10.0
151.0,1.0,0.55,6.0
152.0,1.0,0.55,8.0
153.0,1.0,0.55,8.0
154.0,1.0,0.55,12.0
155.0,1.0,0.55,10.0
156.0,1.0,0.55,10.0
157.0,1.0,0.56,12.0
158.0,1.0,0.55,8.0
159.0,1.0,0.56,10.0
160.0,1.0,0.56,13.0
161.0,1.0,0.56,9.0
162.0,1.0,0.56,3.0
163.0,1.0,0.56,9.0
164.0,1.0,0.56,12.0
165.0,1.0,0.56,8.0
166.0,1.0,0.56,10.0
167.0,1.0,0.56,6.0
168.0,1.0,0.56,8.0
169.0,1.0,0.56,12.0
170.0,1.0,0.56,10.0
171.0,1.0,0.56,13.0
172.0,1.0,0.56,7.0
173.0,1.0,0.56,4.0
174.0,1.0,0.56,8.0
175.0,1.0,0.56,9.0
176.0,1.0,0.56,8.0
177.0,1.0,0.56,4.0
178.0,1.0,0.56,4.0
179.0,1.0,0.56,9.0
180.0,1.0,0.56,7.0
181.0,1.0,0.56,9.0
182.0,1.0,0.56,12.0
183.0,1.0,0.56,8.0
184.0,1.0,0.55,7.0
185.0,1.0,0.55,7.0
186.0,1.0,0.55,12.0
187.0,1.0,0.56,4.0
188.0,1.0,0.56,13.0
189.0,1.0,0.56,8.0
190.0,1.0,0.56,12.0
191.0,1.0,0.56,7.0
192.0,1.0,0.56,3.0
193.0,1.0,0.56,10.0
194.0,1.0,0.56,5.0
195.0,1.0,0.56,9.0
196.0,1.0,0.56,7.0
197.0,1.0,0.56,9.0
198.0,1.0,0.56,11.0
199.0,1.0,0.56,11.0
200.0,1.0,0.56,8.0
