,Topic Divergence,Avg Compat Ratio,Burst Length
139.0,1.0,0.51,6.0
140.0,-1.0,0.5,9.0
141.0,-1.0,0.5,9.0
142.0,-1.0,0.5,5.0
143.0,-1.0,0.5,7.0
144.0,-1.0,0.5,11.0
145.0,-1.0,0.5,8.0
146.0,-1.0,0.5,9.0
147.0,-1.0,0.5,12.0
148.0,-1.0,0.5,6.0
149.0,-1.0,0.5,11.0
150.0,-1.0,0.5,7.0
151.0,-1.0,0.5,9.0
152.0,-1.0,0.5,5.0
153.0,-1.0,0.5,10.0
154.0,-1.0,0.5,9.0
155.0,-1.0,0.5,7.0
156.0,-1.0,0.5,12.0
157.0,-1.0,0.5,10.0
158.0,-1.0,0.5,6.0
159.0,-1.0,0.5,6.0
160.0,-1.0,0.5,12.0
161.0,-1.0,0.5,11.0
162.0,-1.0,0.5,10.0
163.0,-1.0,0.5,10.0
164.0,-1.0,0.5,5.0
165.0,-1.0,0.5,12.0
166.0,-1.0,0.5,6.0
167.0,-1.0,0.5,8.0
168.0,-1.0,0.5,7.0
169.0,-1.0,0.5,8.0
170.0,-1.0,0.5,11.0
171.0,-1.0,0.5,8.0
172.0,-1.0,0.5,5.0
173.0,-1.0,0.5,6.0
174.0,-1.0,0.5,5.0
175.0,-1.0,0.5,7.0
176.0,-1.0,0.5,6.0
177.0,-1.0,0.5,6.0
178.0,-1.0,0.5,7.0
179.0,-1.0,0.5,7.0
180.0,-1.0,0.5,9.0
181.0,-1.0,0.5,6.0
182.0,-1.0,0.5,3.0
183.0,-1.0,0.5,8.0
184.0,-1.0,0.5,9.0
185.0,-1.0,0.5,9.0
186.0,-1.0,0.5,8.0
187.0,-1.0,0.5,10.0
188.0,-1.0,0.5,9.0
189.0,-1.0,0.5,8.0
190.0,-1.0,0.5,9.0
191.0,-1.0,0.5,9.0
192.0,-1.0,0.5,9.0
193.0,-1.0,0.5,7.0
194.0,-1.0,0.5,7.0
195.0,-1.0,0.5,4.0
196.0,-1.0,0.5,6.0
197.0,-1.0,0.5,9.0
198.0,-1.0,0.5,7.0
199.0,-1.0,0.5,8.0
200.0,-1.0,0.5,7.0
201.0,-1.0,0.5,8.0
202.0,-1.0,0.5,2.0
203.0,-1.0,0.5,10.0
204.0,-1.0,0.5,7.0
205.0,-1.0,0.5,5.0
206.0,-1.0,0.5,7.0
207.0,-1.0,0.5,6.0
208.0,-1.0,0.5,9.0
209.0,-1.0,0.5,9.0
210.0,-1.0,0.5,9.0
211.0,1.0,0.51,9.0
212.0,1.0,0.51,8.0
213.0,1.0,0.51,7.0
214.0,1.0,0.51,9.0
215.0,1.0,0.51,5.0
216.0,1.0,0.51,7.0
217.0,1.0,0.51,6.0
218.0,1.0,0.51,8.0
219.0,1.0,0.51,4.0
220.0,1.0,0.51,11.0
221.0,1.0,0.51,10.0
222.0,1.0,0.51,9.0
223.0,1.0,0.51,9.0
224.0,1.0,0.51,7.0
225.0,1.0,0.51,7.0
226.0,1.0,0.51,8.0
227.0,-1.0,0.5,9.0
228.0,-1.0,0.5,4.0
229.0,-1.0,0.5,8.0
230.0,-1.0,0.5,9.0
231.0,1.0,0.51,6.0
232.0,1.0,0.51,8.0
233.0,1.0,0.51,8.0
234.0,-1.0,0.5,11.0
235.0,-1.0,0.5,5.0
236.0,-1.0,0.5,7.0
237.0,-1.0,0.5,9.0
238.0,-1.0,0.5,8.0
239.0,1.0,0.51,7.0
240.0,1.0,0.51,8.0
241.0,1.0,0.51,6.0
242.0,1.0,0.51,8.0
243.0,1.0,0.51,6.0
244.0,1.0,0.51,8.0
