,Topic Divergence,Avg Compat Ratio,Burst Length
284.0,-1.0,0.45,8.0
285.0,-1.0,0.45,7.0
286.0,-1.0,0.45,5.0
287.0,-1.0,0.45,8.0
288.0,-1.0,0.45,6.0
289.0,-1.0,0.45,5.0
290.0,-1.0,0.45,7.0
291.0,-1.0,0.45,6.0
292.0,-1.0,0.45,9.0
293.0,-1.0,0.45,9.0
294.0,-1.0,0.45,7.0
295.0,-1.0,0.45,8.0
296.0,-1.0,0.45,8.0
297.0,-1.0,0.45,9.0
298.0,-1.0,0.45,7.0
299.0,-1.0,0.45,7.0
300.0,-1.0,0.45,11.0
